meType,fuel,_83,84_2000,2001_,pilot_mdo
SSD,HFO,205,185,175,0
SSD,MDO,190,175,165,0
SSD,Methanol,0,0,350,0
MSD,HFO,215,195,185,0
MSD,MDO,200,185,175,0
MSD,Methanol,0,0,370,0
HSD,HFO,225,205,195,0
HSD,MDO,210,190,185,0
LNG-Otto-MS,LNG,0,173,156,0
LNG-Otto-SS,LNG,0,0,148,0.8
LNG-Diesel,LNG,0,0,135,6
LBSI,LNG,0,156,156,0
Gas Turbine,HFO,305,305,305,0
Gas Turbine,MDO,300,300,300,0
Gas Turbine,LNG,0,0,203,0
Steam Turbine,HFO,340,340,340,0
Steam Turbine,MDO,320,320,320,0
Steam Turbine,LNG,285,285,285,0
